No,Skills,Link Youtube
104,ios,https://youtube.com/playlist?list=PLMRqhzcHGw1ZHtM5xYcZbJ8oUZ0aVTasI&si=UxOjXix1mC2wwImD
105,react native,https://youtube.com/playlist?list=PLzt0WdHR1Z3mf1surWc55uKKcUr83plAb&si=A4f2loAJFIBc5vwU
106,flutter,https://youtube.com/playlist?list=PLFVTikutopLaxLfUL9HFSJNRX696HowZc&si=3GE28a-FXcp-bU0B
107,cisco,https://youtube.com/playlist?list=PLbLqbqNn7VYoX24XyqFDhGbES6i9P2vib&si=QADFFOsBLnT8g6vJ
108,networking protocols,https://youtube.com/playlist?list=PLIFyRwBY_4bRLmKfP1KnZA6rZbRHtxmXi&si=NSD1CM5e0nBygYEO
109,automation testing,https://youtube.com/playlist?list=PL8VbCbavWfeG_QP9yIylsXOCb8CJunKU_&si=pB9N3yg3rCiYpyTt
110,selenium,https://youtube.com/playlist?list=PL6tu16kXT9PqixJLqvRWDIIOtGJTzOpQG&si=hPsnn4llBmBs36p9
111,junit,https://youtube.com/playlist?list=PLEiEAq2VkUUIRbjl0r1s2397CWs8UIhKU&si=5YYZpgCbqls2jUuz
112,testing,https://youtube.com/playlist?list=PLUDwpEzHYYLseflPNg0bUKfLmAbO2JnE9&si=6L0GnZrId7zLOc80
113,agile testing,https://youtube.com/playlist?list=PLynFqaQaGS-iDKhP1caNSfO8yPyK27IRd&si=98TTS9T3Lm79e8Yj
114,performance testing,https://youtube.com/playlist?list=PLb0rQSzkbIOy9XzhJejt5IHNQqZJ09v07&si=7lr7DL997geG-pDV
115,debugging,https://youtube.com/playlist?list=PLM3lhmHjSeISyMURtxc1-ibN1DrB_3sFK&si=xMR9q1faETFB5cLB
116,windows server administration,https://youtube.com/playlist?list=PLLJXhnhyaJU_idU2p-T8S_ZPgQCFszPsm&si=CLS6_aBJfx9alen3
117,adobe creative suite,https://youtube.com/playlist?list=PLoyECfvEFOjYpQ2kE_yhu1Zk_jq7UuAPI&si=-znV_zsGkgQKTv9h
118,figma,https://youtube.com/playlist?list=PLrtys_hpIi1n7lePC1KiECYg0X4ABIw08&si=H4bfv7kBSiUr2dLO
119,user testing,https://youtu.be/B4FmOcKSPFQ?si=b_92tg59ZU0Yu3Oz
120,interaction design,https://youtube.com/playlist?list=PLPzJ0eRAA9CjQQdwYLkLjaCWuO6XNCWl7&si=K8SpFP30Qc2EKFjs
121,php,https://youtube.com/playlist?list=PLFIM0718LjIUqXfmEIBE3-uzERZPh3vp6&si=NocOS3ryTHCYtP47
122,iot platforms,https://youtu.be/Fstl-6c0vvU?si=fqRmL3rQaaMhYPmz
123,embedded systems,https://youtube.com/playlist?list=PL9IEJIKnBJjEcPAz6fss-Hx0TLytCOMVC&si=bd16K_EmVk6tNIzL
124,sensor technology,https://youtube.com/playlist?list=PLyqSpQzTE6M-pDYBKHHhy2C95N4L-zc63&si=DI-hhpPH2dO0-TlA
125,programming,https://youtube.com/playlist?list=PLTBvTHoC90XEjKLIeZpp0fzDpbFjpNVBP&si=stLaeI1DK8QirQQA
126,serverside programming,https://youtube.com/playlist?list=PLF7ZhwvkczzOOAKXlQ7zsDZGqYCMtJWam&si=nm88E744POr6HLbG
